"RegistryPath","Path","Name","Kind","Value"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetCaps\{9BA61D3F-E73A-11D0-8CD2-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetCaps\{9BA61D3F-E73A-11D0-8CD2-00C04FC295EE},FuncName,String,CryptSIPGetCaps
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetCaps\{9F3053C5-439D-4BF7-8A77-04F0450A1D9F},Dll,String,C:\Windows\SysWOW64\EsdSip.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetCaps\{9F3053C5-439D-4BF7-8A77-04F0450A1D9F},FuncName,String,EsdSipGetCaps
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetCaps\{C689AAB8-8E78-11D0-8C47-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetCaps\{C689AAB8-8E78-11D0-8C47-00C04FC295EE},FuncName,String,CryptSIPGetCaps
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetCaps\{C689AAB9-8E78-11D0-8C47-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetCaps\{C689AAB9-8E78-11D0-8C47-00C04FC295EE},FuncName,String,CryptSIPGetCaps
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetCaps\{C689AABA-8E78-11D0-8C47-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetCaps\{C689AABA-8E78-11D0-8C47-00C04FC295EE},FuncName,String,CryptSIPGetCaps
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetCaps\{DE351A42-8E59-11D0-8C47-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetCaps\{DE351A42-8E59-11D0-8C47-00C04FC295EE},FuncName,String,CryptSIPGetCaps
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetCaps\{DE351A43-8E59-11D0-8C47-00C04FC295EE},Dll,String,WINTRUST.DLL
